word,noun,verb,adverb,adjective,other,frequency
mug,1,0,0,0,0,3.075945
mulch,1,0,0,0,0,1.153830
mulct,1,1,0,0,0,0.049896
mum,1,0,0,0,0,5.049292
mumps,1,0,0,0,0,1.656391
mun,1,0,0,0,0,0.963641
mund,1,0,0,0,0,0.246471
munt,1,0,0,0,0,0.107802
mush,1,0,0,0,0,0.961862
musk,1,0,0,0,0,1.434168
must,1,0,0,0,0,15.712167
nab,0,1,0,0,0,0.709082
nag,1,0,0,0,0,1.889608
nam,1,0,0,0,0,6.363920
nan,1,0,0,0,0,4.679279
nap,1,0,0,0,0,4.077649
nash,1,0,0,0,0,5.754629
nast,1,0,0,0,0,0.430585
nat,1,0,1,0,0,12.299360
neck,1,0,0,0,0,62.501652
ned,1,0,0,0,0,6.316355
nest,1,0,0,0,0,15.370341
net,1,0,0,1,0,74.498888
neth,1,0,0,0,0,0.287494
next,0,0,0,1,0,379.526333
nib,1,0,0,0,0,0.433195
nick,1,0,0,0,0,12.277808
nil,1,0,0,0,0,4.694709
ning,1,1,0,0,0,1.168732
nip,1,1,0,0,0,1.337314
nit,1,0,0,0,0,0.960611
nix,1,0,0,0,0,0.514713
nock,0,1,0,0,0,0.380091
nod,1,1,0,0,0,6.766441
non,0,0,0,1,0,242.064908
nonfat,0,0,0,1,0,0.408916
not,0,0,1,0,0,638.761079
nub,1,0,0,0,0,0.489881
nun,1,0,0,0,0,5.964988
nut,1,0,0,0,0,8.235549
og,1,0,0,0,0,4.472976
on,0,0,1,1,0,7151.390427
opt,0,1,0,0,0,6.196697
os,1,0,0,0,0,11.938818
ox,1,0,0,0,0,6.273172
